id,name,exercise_family,base_exercise_name,complementary_families,is_equipment_primary,equipment_detected,priority_build_muscle,priority_get_lean,priority_home,priority_gym
000094d7-4067-4699-b6a2-150afb4f0cf8,Forward Lunge Punch,lunge,Lunge,"split_squat, step_up, squat, leg_press",False,bodyweight,70,88,95,65
0005631e-dc90-4ec8-b2f4-9d7841e63acb,Jackknife (donkey) Squat,squat,Squat,"leg_press, leg_extension, lunge, leg_curl",False,bodyweight,70,88,95,65
0005effc-a444-4555-95b9-b972f60318a5,Incline Squeeze Press (Dumbbell),press,Press,"bench_press, shoulder_press",False,dumbbell,92,90,92,90
0006bfce-22fe-4cc1-94e4-557133975322,Boat Stretch,general_stretch,Stretch,,False,bodyweight,70,88,95,65
000ccfd7-3adb-46ee-b19a-5b0c2fd6deac,Sumo Hip Twist Stretch,hip_stretch,Hip Stretch,,False,bodyweight,70,88,95,65
000fd58e-f7c9-41df-830f-fc35782239b5,Close Grip Biceps Curl (Band),bicep_curl,Bicep Curl,"hammer_curl, preacher_curl, tricep_extension",False,band,60,85,90,50
002f7038-ad4b-4d95-8c61-863022e28068,Sitting Alternate Side Leg Lift On A Chair,leg_exercise,Leg Exercise,"squat, leg_press",False,bodyweight,70,88,95,65
00465e03-9f68-4f38-8136-aced2b09c38f,Lateral Pulldown (with Rope Attachment) (Cable),lat_pulldown,Lat Pulldown,"pull_up, bent_over_row, bicep_curl, face_pull",True,cable,85,88,30,92
00480c96-1f5b-4b79-bc3d-0276efc8a4a4,Lying Obliques Crunch,oblique_crunch,Oblique Crunch,"leg_raise, plank, russian_twist",False,bodyweight,70,88,95,65
004c25db-b22c-419e-91d3-a2291e4a22e1,Full Clean (Barbell),clean,Clean,"deadlift, front_squat, snatch, shrug",False,barbell,95,80,65,95
0053b84e-8897-4f3d-95ef-681d7066baa8,Standing Top Backhand Tap And Backhand Prayer Push,back_exercise,Back Exercise,"bent_over_row, lat_pulldown",False,bodyweight,70,88,95,65
0053edd8-7cb9-4dc5-9f8f-bb2f9fa9970f,Step Up On Box,step_up,Step Up,"lunge, split_squat, squat",False,bodyweight,70,88,95,65
0063756f-f734-42c6-851c-9b31e167ac6a,Lying Frog Crunch Feet Together,crunch,Crunch,"leg_raise, plank, russian_twist",True,bodyweight,70,88,95,65
006b23b7-dce2-4608-b99f-e083ad9c6411,Two Front Toe Touching,general_movement,Two Front Toe Touching,,False,bodyweight,70,88,95,65
006ddc82-05c7-456b-9f99-d562e5db2558,Elbow Plank 3 Point Hops,plank,Plank,"crunch, leg_raise, russian_twist",True,bodyweight,70,88,95,65
0094d406-0de4-4c76-9dec-fe56b7b99047,Reverse Lunge (Bodyweight),reverse_lunge,Reverse Lunge,"split_squat, step_up, squat, leg_press",False,bodyweight,70,88,95,65
00968b97-0806-4b10-a69d-5255a1c2a793,Sitting Hip Mobilization On Exercise Ball,hip_stretch,Hip Stretch,,False,bodyweight,70,88,95,65
009db59e-ef6c-4326-bf3f-3428da1ee608,Cross Body Hammer Curl (Cable),hammer_curl,Hammer Curl,"bicep_curl, preacher_curl, reverse_curl",False,cable,85,88,30,92
009efb29-728d-410a-bcd8-1c1a3ceb4183,Standing Scapular External Rotation (back Pov) (Dumbbell),back_exercise,Back Exercise,"bent_over_row, lat_pulldown",False,dumbbell,92,90,92,90
00afbf39-4e1d-4b82-adbc-f2be0640d96c,Seated Overhead Triceps Extension,overhead_tricep_extension,Overhead Tricep Extension,"tricep_pushdown, skull_crusher, dip, bicep_curl",False,bodyweight,70,88,95,65
00d30699-1ce9-41cc-9286-0e07184e690d,V Up Hold,v_up,V Up,"crunch, leg_raise, plank",False,bodyweight,70,88,95,65
00d762df-6515-4d9c-977e-d604f0637d4d,Lying Front Raise (Dumbbell),front_raise,Front Raise,"shoulder_press, lateral_raise, incline_bench_press",True,dumbbell,92,90,92,90
00f389b0-3b65-4e7d-b043-fb799e76d9e1,Sky Punch March,general_movement,Sky Punch March,,False,bodyweight,70,88,95,65
01089d66-3dc7-425a-a73e-d85fc4ed5b37,Bottoms Up,general_movement,Bottoms Up,,False,bodyweight,70,88,95,65
01092151-73d6-4117-9db0-14987d8fa88f,Kneeling Pulse,general_movement,Kneeling Pulse,,False,bodyweight,70,88,95,65
011294f0-7deb-4072-bd59-c34ff1e49a72,Reverse Lunge Front Kick,reverse_lunge,Reverse Lunge,"split_squat, step_up, squat, leg_press",False,bodyweight,70,88,95,65
01199d16-498e-4a29-800d-7fdf82121631,Push Up (stability Ball),push_up,Push Up,"bench_press, fly, dip, tricep_extension",True,bodyweight,70,88,95,65
011c8e91-7d3a-400b-95ad-f0b6e3b390f6,45 Degrees Arms Plank,plank,Plank,"crunch, leg_raise, russian_twist",True,bodyweight,70,88,95,65
011e05b1-07ce-4f3a-b2a3-5ed6b444f4fe,Rocking Frog Stretch,general_stretch,Stretch,,False,bodyweight,70,88,95,65
01215a7d-8e38-4ecb-a168-01bb03915b23,Shoulder Grip Upright Row (Barbell),upright_row,Upright Row,"lateral_raise, shrug, shoulder_press",False,barbell,95,80,65,95
0155e04b-587e-429b-ad0d-ff3967d13390,Bent Over Single Arm Triceps Kickback (Resistance Band),tricep_kickback,Tricep Kickback,"tricep_extension, tricep_pushdown, dip",False,band,60,85,90,50
015b723b-db6b-458a-88c0-12f2d98c1af6,Lateral Swing And Knee Raise,leg_raise,Leg Raise,"crunch, plank, reverse_crunch",False,bodyweight,70,88,95,65
01713d44-50a0-4d09-b693-549769a7a7c3,Knee Thrust (Bodyweight),general_movement,Knee Thrust,,False,bodyweight,70,88,95,65
01716994-c0d0-4a34-8c86-c74bf6885ff5,Standing Wide Stance Air Bike,cycling,Cycling,,False,bodyweight,70,88,95,65
0192c5ab-26dc-40b3-b102-56f1a286c6ff,Straight Arm Pullover (Dumbbell),pullover,Pullover,"lat_pulldown, straight_arm_pulldown, fly",False,dumbbell,92,90,92,90
0198c34b-7172-4632-bc97-a7fc1b9f7f2e,Lever Hip Thrust,hip_thrust,Hip Thrust,"glute_bridge, romanian_deadlift, leg_curl",False,machine,80,75,20,88
01999010-a7d7-4ccf-bfa0-6b6e38af4086,Paused Goblet Squat (Bodyweight),goblet_squat,Goblet Squat,"leg_press, leg_extension, lunge, leg_curl",False,bodyweight,70,88,95,65
019c318b-3eff-4833-ba03-8a7ba1fe71d2,Rear Delt Row (Dumbbell),rear_delt_fly,Rear Delt Fly,"face_pull, lateral_raise, bent_over_row",False,dumbbell,92,90,92,90
01a010ca-5acc-4e23-a051-28972d6387eb,Kneeling Arnold Press (Dumbbell),arnold_press,Arnold Press,"shoulder_press, lateral_raise, front_raise",False,dumbbell,92,90,92,90
01a7a1c4-e76f-4b3f-b724-407f8dcbe19c,Side To Side Biceps Curl,bicep_curl,Bicep Curl,"hammer_curl, preacher_curl, tricep_extension",False,bodyweight,70,88,95,65
01a8b3bf-040e-4e6a-8021-95085aba8dc6,High Knee Twist,high_knees,High Knees,"mountain_climber, burpee, jumping_jack",False,bodyweight,70,88,95,65
01ac9802-897c-467a-93f1-7e6046870429,Reverse Warrior Pose,general_stretch,Stretch,,False,bodyweight,70,88,95,65
01acf60a-de12-4275-94cb-aec24feed963,Head Full Rotation Fpov,general_movement,Head Full Rotation Fpov,,False,bodyweight,70,88,95,65
01b04789-2a67-474a-b5dc-2c5edf81b4a4,Vibrate Plate Plank,plank,Plank,"crunch, leg_raise, russian_twist",True,bodyweight,70,88,95,65
01bee80e-324b-4633-92b5-76224ffccabf,Single Split Stretch,general_stretch,Stretch,,False,bodyweight,70,88,95,65
01e140a1-7672-4418-b4bf-f1843fc3bef8,Front Raise (Dumbbell),front_raise,Front Raise,"shoulder_press, lateral_raise, incline_bench_press",True,dumbbell,92,90,92,90
01e4b23a-0fb9-4f6f-9be8-0d0bce1773c1,Opposite Arm And Leg Raise Against Wall,leg_raise,Leg Raise,"crunch, plank, reverse_crunch",False,bodyweight,70,88,95,65
01e90a6b-a369-456f-888d-cd26af8fdcdf,Sitting Triceps Stretch On A Chair,tricep_stretch,Tricep Stretch,,False,bodyweight,70,88,95,65
01e98633-98af-456b-8d46-833e43a561d7,Suspender Rollout,general_movement,Suspender Rollout,,False,bodyweight,70,88,95,65
01ec02d1-3466-489d-9fe7-7f03a1c9a33a,One Arm Twisting Seated Delt Row (Band),cable_row,Cable Row,"lat_pulldown, face_pull, bicep_curl, rear_delt_fly",False,band,60,85,90,50
01fb980f-eb18-478a-9114-84036ee7a40f,Reverse Lunge From Deficit (Dumbbell),reverse_lunge,Reverse Lunge,"split_squat, step_up, squat, leg_press",False,dumbbell,92,90,92,90
02060d09-4a1a-454a-8cb2-1e5f52fd81ab,Side Reach Diagonal Reach,general_movement,Side Reach Diagonal Reach,,False,bodyweight,70,88,95,65
020c7e4e-e198-4191-bfb4-48b2c1a3fb99,Front Plank With Arm Lift,plank,Plank,"crunch, leg_raise, russian_twist",True,bodyweight,70,88,95,65
021810e0-6621-48c0-a9b6-011d325f38e0,Between Legs Throw Side Kick,bent_over_row,Bent Over Row,"lat_pulldown, face_pull, bicep_curl, rear_delt_fly",False,bodyweight,70,88,95,65
021de3ac-3121-4eaf-841f-8fc296683f15,Leg Extension Glute Bridge,leg_extension,Leg Extension,"squat, leg_press, leg_curl",False,bodyweight,70,88,95,65
02281e6e-cc0e-43aa-869f-72f0ce31cffd,Interlock Fist Circle Draw,general_movement,Interlock Fist Circle Draw,,False,bodyweight,70,88,95,65
0234b45d-3172-4e15-8b60-4674cc181dd9,Shuffle Hops,general_movement,Shuffle Hops,,False,bodyweight,70,88,95,65
