_ROW_TYPE,_ISSUES,_NEEDS_REVIEW,id,name,category,equipment,primary_muscles,secondary_muscles,description,video_code,video_filename,gender,is_custom,created_at,steps_to_perform,movement_pattern,force_type,movement_type,laterality,plane_of_motion,difficulty_level,complexity_score,strength_rating,hypertrophy_rating,power_rating,endurance_rating,body_position,bench_angle,grip_type,grip_width,optimal_rep_range_min,optimal_rep_range_max,placement_in_workout,fatigability,popularity_score,home_gym_friendly,instructions,workout_type,practicality_score,fat_loss_rating,general_fitness_rating,is_compound,supersetable,exercise_family,base_exercise_name,complementary_families,is_equipment_primary,equipment_category,duration_based,recommended_sets,rest_seconds,muscles_worked_count,priority_build_muscle,priority_get_lean,priority_home,priority_gym
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,a8ebda78-e747-429c-8aa2-9e6e86494d8c,Calf Raise And Front Squat (Kettlebell),Legs,Kettlebell,['Quads'],"['Glutes', 'Core']","Build stronger calves with this targeted squatting exercise. You'll also feel your glutes, hamstrings working to support the movement. Kettlebells are excellent for building functional, real-world strength. Strong legs are the foundation for athletic performance and functional fitness.",58801201,58801201-Kettlebell-Calf-Raise-and-Front-Squat-(male)_Thigh.mp4,male,False,2025-12-03T23:26:21.452942+00:00,"1. Select an appropriately weighted kettlebell for Kettlebell Calf Raise And Front Squat. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Continue for your target rep count, maintaining good form throughout.",Squat,,,,,4,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,front_squat,Calf Raise And Front Squat,"squat, leg_press, leg_extension, goblet_squat",False,kettlebell,False,3,60,2,75,88,88,78
SUGGESTED_FIX,,,a8ebda78-e747-429c-8aa2-9e6e86494d8c,Calf Raise And Front Squat (Kettlebell),Legs,Kettlebell,['Calves'],"['Glutes', 'Core']","Build stronger calves with this targeted squatting exercise. You'll also feel your glutes, hamstrings working to support the movement. Kettlebells are excellent for building functional, real-world strength. Strong legs are the foundation for athletic performance and functional fitness.",58801201,58801201-Kettlebell-Calf-Raise-and-Front-Squat-(male)_Thigh.mp4,male,False,2025-12-03T23:26:21.452942+00:00,"1. Select an appropriately weighted kettlebell for Kettlebell Calf Raise And Front Squat. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Continue for your target rep count, maintaining good form throughout.",Squat,,,,,4,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,front_squat,Calf Raise And Front Squat,"squat, leg_press, leg_extension, goblet_squat",False,kettlebell,False,3,60,2,75,88,88,78
ORIGINAL,MUSCLE: Shrug exercise incorrectly labeled as Chest (should be Traps) | CATEGORY: Shrug exercise in Chest category (should be Shoulders or Traps),YES,89ed34dc-1537-4378-852a-a708bc49d83e,Lever Shrug (bench Press Machine),Chest,"Flat Bench, Lever Machine",['Chest'],"['Triceps', 'Front Delts']","Build a stronger back with this pressing movement targeting your chest. Secondary activation of your triceps, front delts provides additional muscle engagement. The machine guides your movement path for safer, more controlled repetitions. A strong back improves posture, prevents injury, and balances pressing movements.",12211201,12211201-Lever-Shrug-(Bench-Press-Machine)_Back_.mp4,male,False,2025-12-03T23:26:21.995567+00:00,"1. Adjust the machine settings (seat height, weight, pads) to fit your body for Lever Shrug. 2. Lower the weight toward your chest with control. 3. Press the weight up until your arms are extended (don't lock elbows). 4. Complete all reps with control before resting.",,,,,,1,,10,10,,4,,,,,5,8,,8,,True,,Strength,93,7,9,True,False,bench_press,Lever Shrug,"incline_press, decline_press, chest_fly, push_up, dip",False,machine,False,4,120,4,80,75,20,88
SUGGESTED_FIX,,,89ed34dc-1537-4378-852a-a708bc49d83e,Lever Shrug (bench Press Machine),Shoulders,"Flat Bench, Lever Machine",['Traps'],"['Triceps', 'Front Delts']","Build a stronger back with this pressing movement targeting your chest. Secondary activation of your triceps, front delts provides additional muscle engagement. The machine guides your movement path for safer, more controlled repetitions. A strong back improves posture, prevents injury, and balances pressing movements.",12211201,12211201-Lever-Shrug-(Bench-Press-Machine)_Back_.mp4,male,False,2025-12-03T23:26:21.995567+00:00,"1. Adjust the machine settings (seat height, weight, pads) to fit your body for Lever Shrug. 2. Lower the weight toward your chest with control. 3. Press the weight up until your arms are extended (don't lock elbows). 4. Complete all reps with control before resting.",,,,,,1,,10,10,,4,,,,,5,8,,8,,True,,Strength,93,7,9,True,False,bench_press,Lever Shrug,"incline_press, decline_press, chest_fly, push_up, dip",False,machine,False,4,120,4,80,75,20,88
ORIGINAL,CATEGORY: Tricep exercise should be in Triceps category,YES,3d66dc8c-4e2b-44f3-933e-fac5b3f1c81f,Triceps Extension Push Up (TRX),Chest,TRX,['Triceps'],"['Triceps', 'Front Delts']","Build stronger triceps with this pushing exercise for bigger arms. Secondary activation of your triceps, front delts provides additional muscle engagement. The TRX allows you to adjust difficulty by changing your body angle. Dedicated arm training builds both strength and muscular definition.",11491201,11491201-Suspender-Triceps-Extension-Push-Up-(female)_Upper.mp4,female,False,2025-12-03T23:26:39.623429+00:00,"1. Adjust the TRX/suspension straps to the appropriate length for Suspender Triceps Extension Push Up. 2. Keep your body in a straight line from head to heels throughout. 3. Lower your chest toward the floor by bending your elbows. 4. Push through your palms to return to the starting position. 5. Continue for your target rep count, maintaining good form throughout.",,,,,,2,,7,7,,5,,,,,8,12,,6,,True,,Strength,70,7,8,True,True,tricep_extension,Suspender Triceps Extension Push Up,"tricep_pushdown, close_grip_bench",True,suspension,False,3,90,4,68,85,85,70
SUGGESTED_FIX,,,3d66dc8c-4e2b-44f3-933e-fac5b3f1c81f,Triceps Extension Push Up (TRX),Triceps,TRX,['Triceps'],"['Triceps', 'Front Delts']","Build stronger triceps with this pushing exercise for bigger arms. Secondary activation of your triceps, front delts provides additional muscle engagement. The TRX allows you to adjust difficulty by changing your body angle. Dedicated arm training builds both strength and muscular definition.",11491201,11491201-Suspender-Triceps-Extension-Push-Up-(female)_Upper.mp4,female,False,2025-12-03T23:26:39.623429+00:00,"1. Adjust the TRX/suspension straps to the appropriate length for Suspender Triceps Extension Push Up. 2. Keep your body in a straight line from head to heels throughout. 3. Lower your chest toward the floor by bending your elbows. 4. Push through your palms to return to the starting position. 5. Continue for your target rep count, maintaining good form throughout.",,,,,,2,,7,7,,5,,,,,8,12,,6,,True,,Strength,70,7,8,True,True,tricep_extension,Suspender Triceps Extension Push Up,"tricep_pushdown, close_grip_bench",True,suspension,False,3,90,4,68,85,85,70
ORIGINAL,MUSCLE: Calf exercise incorrectly labeled as Chest,YES,33a38a30-477e-4780-ba3a-ae97fa05ee89,Lever Calf Raise (bench Press Machine),Legs,"Flat Bench, Calf Raise Machine",['Chest'],"['Triceps', 'Front Delts']","The Lever Calf Raise (bench Press Machine) isolates your calf muscles through a pressing motion. You'll also feel your triceps, front delts working to support the movement. The fixed path allows you to focus purely on muscular effort. Strong legs are the foundation for athletic performance and functional fitness.",12201201,12201201-Lever-Calf-Raise-(Bench-Press-Machine)_Calves_.mp4,male,False,2025-12-03T23:26:25.87243+00:00,"1. Adjust the machine settings (seat height, weight, pads) to fit your body for Lever Calf Raise. 2. Lower the weight toward your chest with control. 3. Press the weight up until your arms are extended (don't lock elbows). 4. Repeat for the prescribed number of repetitions.",,,,,,1,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,bench_press,Lever Calf Raise,"incline_press, decline_press, chest_fly, push_up, dip",False,machine,False,3,60,2,80,75,20,88
SUGGESTED_FIX,,,33a38a30-477e-4780-ba3a-ae97fa05ee89,Lever Calf Raise (bench Press Machine),Legs,"Flat Bench, Calf Raise Machine",['Calves'],"['Triceps', 'Front Delts']","The Lever Calf Raise (bench Press Machine) isolates your calf muscles through a pressing motion. You'll also feel your triceps, front delts working to support the movement. The fixed path allows you to focus purely on muscular effort. Strong legs are the foundation for athletic performance and functional fitness.",12201201,12201201-Lever-Calf-Raise-(Bench-Press-Machine)_Calves_.mp4,male,False,2025-12-03T23:26:25.87243+00:00,"1. Adjust the machine settings (seat height, weight, pads) to fit your body for Lever Calf Raise. 2. Lower the weight toward your chest with control. 3. Press the weight up until your arms are extended (don't lock elbows). 4. Repeat for the prescribed number of repetitions.",,,,,,1,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,bench_press,Lever Calf Raise,"incline_press, decline_press, chest_fly, push_up, dip",False,machine,False,3,60,2,80,75,20,88
ORIGINAL,CATEGORY: Tricep exercise should be in Triceps category,YES,6ca9ff8a-5190-45d3-ba87-a099f5cf2758,Side Lying Single Arm Triceps Push Up,Chest,Bodyweight,['Triceps'],"['Triceps', 'Front Delts']","The Side Lying Single Arm Triceps Push Up is an arm pushing exercise targeting your chest. You'll also feel your triceps, front delts working to support the movement. Performing this lying down removes momentum for stricter form. No equipment needed—your body provides all the resistance. Dedicated arm training builds both strength and muscular definition.",69211201,69211201-Side-Lying-Single-Arm-Triceps-Push-up-(male)_Upper.mp4,male,False,2025-12-03T23:26:28.52454+00:00,"1. Lie on your side with your body aligned. 2. Keep your body in a straight line from head to heels throughout. 3. Lower your chest toward the floor by bending your elbows. 4. Push through your palms to return to the starting position. 5. Complete all reps on one side, then switch to the other side. 6. Complete all reps with control before resting.",,,,,,3,,7,7,,5,Lying,,,,8,12,,6,,True,,Strength,65,7,8,True,True,push_up,Side Lying Single Arm Triceps Push Up,"bench_press, chest_fly, dip",True,bodyweight,False,3,90,4,70,88,95,65
SUGGESTED_FIX,,,6ca9ff8a-5190-45d3-ba87-a099f5cf2758,Side Lying Single Arm Triceps Push Up,Triceps,Bodyweight,['Triceps'],"['Triceps', 'Front Delts']","The Side Lying Single Arm Triceps Push Up is an arm pushing exercise targeting your chest. You'll also feel your triceps, front delts working to support the movement. Performing this lying down removes momentum for stricter form. No equipment needed—your body provides all the resistance. Dedicated arm training builds both strength and muscular definition.",69211201,69211201-Side-Lying-Single-Arm-Triceps-Push-up-(male)_Upper.mp4,male,False,2025-12-03T23:26:28.52454+00:00,"1. Lie on your side with your body aligned. 2. Keep your body in a straight line from head to heels throughout. 3. Lower your chest toward the floor by bending your elbows. 4. Push through your palms to return to the starting position. 5. Complete all reps on one side, then switch to the other side. 6. Complete all reps with control before resting.",,,,,,3,,7,7,,5,Lying,,,,8,12,,6,,True,,Strength,65,7,8,True,True,push_up,Side Lying Single Arm Triceps Push Up,"bench_press, chest_fly, dip",True,bodyweight,False,3,90,4,70,88,95,65
