id,name,equpiment,exercise_type,is_compound,difficulty_level,supersetable,duration_based,hypertrophy_rating,strength_rating,fat_loss_rating,endurance_rating,general_fitness_rating,optimal_rep_range_min,optimal_rep_range_max,recommended_sets,rest_seconds,fatigability,muscles_worked_count,build_muscle_reps,get_lean_reps,endurance_reps,general_fitness_reps
000094d7-4067-4699-b6a2-150afb4f0cf8,Forward Lunge Punch,,strength,True,intermediate,True,False,8,8,8,5,9,6,12,4,90,7,4,6-12,10-12,15-17,6-12
0005631e-dc90-4ec8-b2f4-9d7841e63acb,Jackknife (donkey) Squat,,strength,True,intermediate,False,False,10,10,8,5,9,5,10,4,120,9,4,6-10,10-10,15-15,5-10
0005effc-a444-4555-95b9-b972f60318a5,Incline Squeeze Press (Dumbbell),,strength,True,intermediate,True,False,9,8,7,5,8,6,12,4,90,7,4,6-12,10-12,15-17,6-12
0006bfce-22fe-4cc1-94e4-557133975322,Boat Stretch,,stretch,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,N/A,N/A,N/A,N/A
000ccfd7-3adb-46ee-b19a-5b0c2fd6deac,Sumo Hip Twist Stretch,,stretch,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,N/A,N/A,N/A,N/A
000fd58e-f7c9-41df-830f-fc35782239b5,Close Grip Biceps Curl (Band),,strength,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
002f7038-ad4b-4d95-8c61-863022e28068,Sitting Alternate Side Leg Lift On A Chair,,strength,False,beginner,True,False,7,5,5,6,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
00465e03-9f68-4f38-8136-aced2b09c38f,Lateral Pulldown (with Rope Attachment) (Cable),,strength,True,intermediate,True,False,8,8,7,5,8,6,12,4,90,7,4,6-12,10-12,15-17,6-12
00480c96-1f5b-4b79-bc3d-0276efc8a4a4,Lying Obliques Crunch,,strength,False,intermediate,True,False,7,5,5,6,6,12,20,3,60,4,2,12-12,12-20,15-25,12-20
004c25db-b22c-419e-91d3-a2291e4a22e1,Full Clean (Barbell),,strength,True,advanced,False,False,9,9,8,5,8,6,12,4,90,9,6,6-12,10-12,15-17,6-12
0053b84e-8897-4f3d-95ef-681d7066baa8,Standing Top Backhand Tap And Backhand Prayer Push,,strength,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
0053edd8-7cb9-4dc5-9f8f-bb2f9fa9970f,Step Up On Box,,strength,True,intermediate,True,False,8,8,7,5,8,6,12,4,90,7,4,6-12,10-12,15-17,6-12
0063756f-f734-42c6-851c-9b31e167ac6a,Lying Frog Crunch Feet Together,,strength,False,intermediate,True,False,7,5,5,6,6,12,20,3,60,4,2,12-12,12-20,15-25,12-20
006b23b7-dce2-4608-b99f-e083ad9c6411,Two Front Toe Touching,,strength,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
006ddc82-05c7-456b-9f99-d562e5db2558,Elbow Plank 3 Point Hops,,plyometrics,False,intermediate,True,False,4,5,9,8,7,8,15,3,60,8,5,8-12,10-15,15-20,8-15
0094d406-0de4-4c76-9dec-fe56b7b99047,Reverse Lunge (Bodyweight),,strength,True,beginner,True,False,8,8,8,7,9,6,12,4,90,7,4,6-12,10-12,15-17,6-12
00968b97-0806-4b10-a69d-5255a1c2a793,Sitting Hip Mobilization On Exercise Ball,,stretch,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,N/A,N/A,N/A,N/A
009db59e-ef6c-4326-bf3f-3428da1ee608,Cross Body Hammer Curl (Cable),,strength,False,intermediate,True,False,8,5,5,6,6,12,20,3,60,4,2,12-12,12-20,15-25,12-20
009efb29-728d-410a-bcd8-1c1a3ceb4183,Standing Scapular External Rotation (back Pov) (Dumbbell),,strength,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
00afbf39-4e1d-4b82-adbc-f2be0640d96c,Seated Overhead Triceps Extension,,strength,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
00d30699-1ce9-41cc-9286-0e07184e690d,V Up Hold,,strength,False,intermediate,True,False,7,5,5,7,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
00d762df-6515-4d9c-977e-d604f0637d4d,Lying Front Raise (Dumbbell),,strength,False,intermediate,True,False,9,5,5,6,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
00f389b0-3b65-4e7d-b043-fb799e76d9e1,Sky Punch March,,strength,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
01089d66-3dc7-425a-a73e-d85fc4ed5b37,Bottoms Up,,strength,False,intermediate,True,False,7,5,5,6,3,10,15,3,60,4,2,10-12,10-15,15-20,10-15
01092151-73d6-4117-9db0-14987d8fa88f,Kneeling Pulse,,strength,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,10-12,10-15,15-20,10-15
011294f0-7deb-4072-bd59-c34ff1e49a72,Reverse Lunge Front Kick,,strength,True,intermediate,True,False,8,8,8,5,9,6,12,4,90,7,4,6-12,10-12,15-17,6-12
01199d16-498e-4a29-800d-7fdf82121631,Push Up (stability Ball),,strength,True,intermediate,True,False,8,8,7,5,9,6,12,4,90,7,4,6-12,10-12,15-17,6-12
