id,name,original_name,subtitle,category,equipment,equipment_detected,exercise_type,exercise_family,base_exercise_name,primaryMuscle,secondaryMuscles,muscleGroups,hasVideo,is_compound,difficulty_level,supersetable,duration_based,hypertrophy_rating,strength_rating,fat_loss_rating,endurance_rating,general_fitness_rating,optimal_rep_range_min,optimal_rep_range_max,recommended_sets,rest_seconds,fatigability,muscles_worked_count,priority_build_muscle,priority_get_lean,priority_home,priority_gym,complementary_families,is_equipment_primary
000094d7-4067-4699-b6a2-150afb4f0cf8,Forward Lunge Punch (Bodyweight),Forward Lunge Punch,Legs - Bodyweight,Legs,Bodyweight,bodyweight,strength,lunge,Lunge,Quads,Glutes; Hamstrings,Quads; Glutes; Hamstrings,True,True,intermediate,True,False,8,8,8,5,9,6,12,4,90,7,4,70,88,95,65,"split_squat, step_up, squat, leg_press",False
0005631e-dc90-4ec8-b2f4-9d7841e63acb,Jackknife (donkey) Squat (Bodyweight),Jackknife (donkey) Squat,Legs - donkey,Legs,Bodyweight,bodyweight,strength,squat,Squat,Quads,Glutes; Hamstrings,Quads; Glutes; Hamstrings,False,True,intermediate,False,False,10,10,8,5,9,5,10,4,120,9,4,70,88,95,65,"leg_press, leg_extension, lunge, leg_curl",False
0005effc-a444-4555-95b9-b972f60318a5,Incline Squeeze Press (Dumbbell),Incline Squeeze Press (Dumbbell),Chest - Dumbbell,Chest,Dumbbell,dumbbell,strength,press,Press,Upper Chest,,Upper Chest,False,True,intermediate,True,False,9,8,7,5,8,6,12,4,90,7,4,92,90,92,90,"bench_press, shoulder_press",False
0006bfce-22fe-4cc1-94e4-557133975322,Boat Stretch (Bodyweight),Boat Stretch,Stretching - Bodyweight,Stretching,Bodyweight,bodyweight,stretch,flexibility,Flexibility,,,,True,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,70,88,95,65,,False
000ccfd7-3adb-46ee-b19a-5b0c2fd6deac,Sumo Hip Twist Stretch (Bodyweight),Sumo Hip Twist Stretch,Stretching - Bodyweight,Stretching,Bodyweight,bodyweight,stretch,hip_stretch,Hip Stretch,,,,True,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,70,88,95,65,,False
000fd58e-f7c9-41df-830f-fc35782239b5,Close Grip Biceps Curl (Band),Close Grip Biceps Curl (Band),Arms - Band,Arms,Band,band,strength,bicep_curl,Bicep Curl,Biceps,Forearms (Flexors),Biceps; Forearms (Flexors),False,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,60,85,90,50,"hammer_curl, preacher_curl, tricep_extension",False
00465e03-9f68-4f38-8136-aced2b09c38f,"Lateral Pulldown (Cable, Rope Attachment)",Lateral Pulldown (with Rope Attachment) (Cable),"Back - Cable, Rope Attachment",Back,Cable,cable,strength,lat_pulldown,Lat Pulldown,Lats,Biceps; Upper Back,Lats; Biceps; Upper Back,False,True,intermediate,True,False,8,8,7,5,8,6,12,4,90,7,4,85,88,30,92,"pull_up, bent_over_row, bicep_curl, face_pull",True
00480c96-1f5b-4b79-bc3d-0276efc8a4a4,Lying Obliques Crunch (Bodyweight),Lying Obliques Crunch,Core - Bodyweight,Core,Bodyweight,bodyweight,strength,oblique_crunch,Oblique Crunch,Obliques,Abs,Obliques; Abs,False,False,intermediate,True,False,7,5,5,6,6,12,20,3,60,4,2,70,88,95,65,"leg_raise, plank, russian_twist",False
004c25db-b22c-419e-91d3-a2291e4a22e1,Full Clean (Barbell),Full Clean (Barbell),Full Body - Barbell,Full Body,Barbell,barbell,strength,clean,Clean,Full Body,Quads; Glutes; Upper Back,Full Body; Quads; Glutes; Upper Back,False,True,advanced,False,False,9,9,8,5,8,6,12,4,90,9,6,95,80,65,95,"deadlift, front_squat, snatch, shrug",False
0053edd8-7cb9-4dc5-9f8f-bb2f9fa9970f,Step Up on Box (Bodyweight),Step Up On Box,Legs - Bodyweight,Legs,Bodyweight,bodyweight,strength,step_up,Step Up,Quads,Glutes; Hamstrings,Quads; Glutes; Hamstrings,True,True,intermediate,True,False,8,8,7,5,8,6,12,4,90,7,4,70,88,95,65,"lunge, split_squat, squat",False
0063756f-f734-42c6-851c-9b31e167ac6a,Lying Frog Crunch Feet Together (Bodyweight),Lying Frog Crunch Feet Together,Core - Bodyweight,Core,Bodyweight,bodyweight,strength,crunch,Crunch,Upper Abs,Abs; Core,Upper Abs; Abs; Core,True,False,intermediate,True,False,7,5,5,6,6,12,20,3,60,4,2,70,88,95,65,"leg_raise, plank, russian_twist",True
006b23b7-dce2-4608-b99f-e083ad9c6411,Two Front Toe Touching (Bodyweight),Two Front Toe Touching,Full Body - Bodyweight,Full Body,Bodyweight,bodyweight,strength,full_body_movement,Full Body Movement,Full Body,,Full Body,True,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,70,88,95,65,,False
006ddc82-05c7-456b-9f99-d562e5db2558,Elbow Plank 3 Point Hops (Bodyweight),Elbow Plank 3 Point Hops,Core - Bodyweight,Core,Bodyweight,bodyweight,plyometrics,plank,Plank,Core,Abs; Lower Back,Core; Abs; Lower Back,True,False,intermediate,True,False,4,5,9,8,7,8,15,3,60,8,5,70,88,95,65,"crunch, leg_raise, russian_twist",True
0094d406-0de4-4c76-9dec-fe56b7b99047,Reverse Lunge (Bodyweight),Reverse Lunge (Bodyweight),Legs - Bodyweight,Legs,Bodyweight,bodyweight,strength,reverse_lunge,Reverse Lunge,Quads,Glutes; Hamstrings,Quads; Glutes; Hamstrings,False,True,beginner,True,False,8,8,8,7,9,6,12,4,90,7,4,70,88,95,65,"split_squat, step_up, squat, leg_press",False
00968b97-0806-4b10-a69d-5255a1c2a793,Sitting Hip Mobilization on Exercise Ball (Bodyweight),Sitting Hip Mobilization On Exercise Ball,Stretching - Bodyweight,Stretching,Bodyweight,bodyweight,stretch,hip_stretch,Hip Stretch,,,,True,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,70,88,95,65,,False
009db59e-ef6c-4326-bf3f-3428da1ee608,Cross Body Hammer Curl (Cable),Cross Body Hammer Curl (Cable),Arms - Cable,Arms,Cable,cable,strength,hammer_curl,Hammer Curl,Biceps,Forearms (Flexors),Biceps; Forearms (Flexors),False,False,intermediate,True,False,8,5,5,6,6,12,20,3,60,4,2,85,88,30,92,"bicep_curl, preacher_curl, reverse_curl",False
00afbf39-4e1d-4b82-adbc-f2be0640d96c,Seated Overhead Triceps Extension (Bodyweight),Seated Overhead Triceps Extension,Arms - Bodyweight,Arms,Bodyweight,bodyweight,strength,overhead_tricep_extension,Overhead Tricep Extension,Triceps,,Triceps,True,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,70,88,95,65,"tricep_pushdown, skull_crusher, dip, bicep_curl",False
